t,angle
28.5,53.8521115302517
28.55,44.0775760953692
28.6,29.1108830616168
28.65,11.431800086694
28.7,-6.75880994914675
28.75,-25.938752019168
28.8,-39.9745760178147
28.85,-51.7440903525776
28.9,-59.8667584660786
28.95,-61.799514243485
29,-60.4550141733193
29.05,-52.1246663613969
29.1,-41.046860902198
29.15,-25.3542601934504
29.2,-7.23594527225597
29.25,12.1744873335151
29.3,29.113543576751
29.35,43.9824733709521
29.4,55.0674677427102
29.45,60.0778156321974
29.5,60.8905094458786
29.55,57.2785390892463
29.6,50.0651019069134
29.65,37.5484687110157
29.7,20.6701720635542
29.75,2.79908678901082
29.8,-16.1821645281614
29.85,-32.7381040696853
29.9,-46.296592252723
29.95,-55.8531094090096
30,-60.7273717082322
30.05,-61.0046106903943
30.1,-56.0610103429859
30.15,-46.626379441813
30.2,-32.9969680080711
30.25,-16.6875457610549
30.3,0.250239506013082
30.35,19.5796343924806
30.4,35.4345817084565
30.45,48.5656797378928
30.5,57.9454878009246
30.55,60.5709648577548
30.6,60.9123476287673
30.65,55.2106160711861
30.7,44.5047299581164
30.75,29.9132376865958
30.8,13.1177566320765
30.85,-4.65859613593657
30.9,-22.1776633265701
30.95,-38.9589093588876
31,-51.4368722273246
31.05,-58.3742521191577
31.1,-60.5738624394845
31.15,-60.024677453086
31.2,-52.2761626575391
31.25,-40.7900539820431
31.3,-25.7765351199537
31.35,-7.87595788405662
31.4,8.77929335042513
31.45,26.8139721877813
31.5,41.690127333731
31.55,52.7936880252318
31.6,59.1071824238246
31.65,62.1758630622042
31.7,58.2623559155229
31.75,49.6970934174259
31.8,38.0074094175252
31.85,21.7094893332037
31.9,3.98402882142649
31.95,-14.5001733218239
32,-29.7303575266959
32.05,-43.7707122736951
32.1,-55.3744940445202
32.15,-59.9804706470182
32.2,-60.6615001712814
32.25,-55.8198611722268
32.3,-48.3233639612228
32.35,-34.001780933662
32.4,-17.9417703169274
32.45,0.433164847927503
32.5,18.0581040753739
32.55,35.2431624116154
32.6,48.214659073321
32.65,55.7517892023619
32.7,60.0895851477974
32.75,59.8844458796977
32.8,54.8767192383341
32.85,44.9419202699392
32.9,31.0730154507128
32.95,12.9275928282609
33,-4.14988984790044
33.05,-22.6851302915395
33.1,-38.0258811147502
33.15,-50.3322695472651
33.2,-57.3667296268866
33.25,-60.022735956752
33.3,-58.68454748432
33.35,-52.1233327472181
33.4,-41.6045763721649
33.45,-25.7982953148306
33.5,-8.54555186228336
33.55,9.62429273735536
33.6,27.1839375622235
33.65,41.7846310067611
33.7,51.7889036991652
33.75,59.0132206400595
33.8,59.6079787506655
33.85,56.8713215187148
33.9,49.6166869109471
33.95,37.3081262694135
34,22.8267120441825
34.05,3.60363664337336
34.1,-14.3932021139348
34.15,-30.1012054517259
34.2,-43.6109857535687
34.25,-53.6467986621482
34.3,-58.5633866619589
34.35,-60.5508369968004
34.4,-55.2015502477126
34.45,-47.2101460954172
34.5,-34.167692783013
34.55,-17.0890326814437
34.6,0.122532028714827
34.65,17.3723472434046
34.7,34.723557568413
34.75,47.6319901616157
34.8,56.4838400670749
34.85,60.0034675789569
34.9,59.4456825117358
34.95,54.5547516834769
35,44.296194311766
35.05,28.9465417761531
35.1,13.2931290470402
35.15,-6.0241291951966
35.2,-22.8723101188034
35.25,-38.3468022087968
35.3,-49.5121490663227
35.35,-57.9929894927239
35.4,-59.7432287829133
35.45,-58.1545033669566
35.5,-50.9930299907344
35.55,-39.1687919734442
35.6,-25.0459717643059
35.65,-7.0275902741955
35.7,10.6685145197254
35.75,27.1862302849964
35.8,40.4537759013228
35.85,52.8798251122
35.9,57.6863195328049
35.95,60.6192971964747
36,55.5656637732215
36.05,49.2623928831294
36.1,35.1225032730678
36.15,20.4447980988875
36.2,3.12978008620807
